emd_cd,emd_eng_nm,법정구명,emd_kor_nm,val1
11230109,Hwigyeong-dong, 동대문구,휘경동,463
11230110,Imun-dong, 동대문구,이문동,464
11260101,Myeonmok-dong, 중랑구,면목동,179
11260102,Sangbong-dong, 중랑구,상봉동,180
11260103,Junghwa-dong, 중랑구,중화동,211
11260104,Muk-dong, 중랑구,묵동,212
11260105,Mangu-dong, 중랑구,망우동,213
11260106,Sinnae-dong, 중랑구,신내동,214
11290101,Seongbuk-dong, 성북구,성북동,215
11290102,Seongbuk-dong 1(il)-ga, 성북구,성북동1가,182
11290103,Donam-dong, 성북구,돈암동,183
11290104,Dongsomun-dong 1(il)-ga, 성북구,동소문동1가,187
11290105,Dongsomun-dong 2(i)-ga, 성북구,동소문동2가,188
11290106,Dongsomun-dong 3(sam)-ga, 성북구,동소문동3가,190
11290107,Dongsomun-dong 4(sa)-ga, 성북구,동소문동4가,194
11290108,Dongsomun-dong 5(o)-ga, 성북구,동소문동5가,397
11290109,Dongsomun-dong 6(yuk)-ga, 성북구,동소문동6가,216
11290110,Dongsomun-dong 7(chil)-ga, 성북구,동소문동7가,217
11290111,Samseon-dong 1(il)-ga, 성북구,삼선동1가,218
11290112,Samseon-dong 2(i)-ga, 성북구,삼선동2가,220
11290113,Samseon-dong 3(sam)-ga, 성북구,삼선동3가,444
11290114,Samseon-dong 4(sa)-ga, 성북구,삼선동4가,219
11290115,Samseon-dong 5(o)-ga, 성북구,삼선동5가,221
11290116,Dongseon-dong 1(il)-ga, 성북구,동선동1가,91
11290117,Dongseon-dong 2(i)-ga, 성북구,동선동2가,380
11290118,Dongseon-dong 3(sam)-ga, 성북구,동선동3가,473
11290119,Dongseon-dong 4(sa)-ga, 성북구,동선동4가,327
11290120,Dongseon-dong 5(o)-ga, 성북구,동선동5가,356
11290121,Anam-dong 1(il)-ga, 성북구,안암동1가,141
11290122,Anam-dong 2(i)-ga, 성북구,안암동2가,149
11290123,Anam-dong 3(sam)-ga, 성북구,안암동3가,153
11290124,Anam-dong 4(sa)-ga, 성북구,안암동4가,160
11290125,Anam-dong 5(o)-ga, 성북구,안암동5가,223
11290126,Bomun-dong 4(sa)-ga, 성북구,보문동4가,224
11290127,Bomun-dong 5(o)-ga, 성북구,보문동5가,161
11290128,Bomun-dong 6(yuk)-ga, 성북구,보문동6가,225
11290129,Bomun-dong 7(chil)-ga, 성북구,보문동7가,226
11290130,Bomun-dong 1(il)-ga, 성북구,보문동1가,228
11290131,Bomun-dong 2(i)-ga, 성북구,보문동2가,163
11290132,Bomun-dong 3(sam)-ga, 성북구,보문동3가,165
11290133,Jeongneung-dong, 성북구,정릉동,166
11290134,Gireum-dong, 성북구,길음동,167
11290135,Jongam-dong, 성북구,종암동,229
11290136,Hawolgok-dong, 성북구,하월곡동,231
11290137,Sangwolgok-dong, 성북구,상월곡동,232
11290138,Jangwi-dong, 성북구,장위동,234
11290139,Seokgwan-dong, 성북구,석관동,235
11305101,Mia-dong, 강북구,미아동,237
11305102,Beon-dong, 강북구,번동,238
11305103,Suyu-dong, 강북구,수유동,239
11305104,Ui-dong, 강북구,우이동,241
11320105,Ssangmun-dong, 도봉구,쌍문동,242
11320106,Banghak-dong, 도봉구,방학동,243
11320107,Chang-dong, 도봉구,창동,244
11320108,Dobong-dong, 도봉구,도봉동,246
11350102,Wolgye-dong, 노원구,월계동,247
11350103,Gongneung-dong, 노원구,공릉동,249
11350104,Hagye-dong, 노원구,하계동,250
11350105,Sanggye-dong, 노원구,상계동,251
11350106,Junggye-dong, 노원구,중계동,252
11380101,Susaek-dong, 은평구,수색동,253
11380102,Nokbeon-dong, 은평구,녹번동,254
11380103,Bulgwang-dong, 은평구,불광동,256
11380104,Galhyeon-dong, 은평구,갈현동,255
11380105,Gusan-dong, 은평구,구산동,257
11380106,Daejo-dong, 은평구,대조동,258
11380107,Eungam-dong, 은평구,응암동,259
11380108,Yeokchon-dong, 은평구,역촌동,260
11380109,Sinsa-dong, 은평구,신사동,261
11380110,Jeungsan-dong, 은평구,증산동,262
11380114,Jingwan-dong, 은평구,진관동,263
11410101,Chungjeongno 2(i)-ga, 서대문구,충정로2가,264
11410102,Chungjeongno 3(sam)-ga, 서대문구,충정로3가,265
11410103,Hap-dong, 서대문구,합동,394
11410104,Migeun-dong, 서대문구,미근동,266
11410105,Naengcheon-dong, 서대문구,냉천동,268
11410106,Cheonyeon-dong, 서대문구,천연동,269
11410107,Okcheon-dong, 서대문구,옥천동,155
11410108,Yeongcheon-dong, 서대문구,영천동,267
11410109,Hyeonjeo-dong, 서대문구,현저동,271
11410110,Bugahyeon-dong, 서대문구,북아현동,273
11410111,Hongje-dong, 서대문구,홍제동,275
11410112,Daehyeon-dong, 서대문구,대현동,276
11410113,Daesin-dong, 서대문구,대신동,278
11410114,Sinchon-dong, 서대문구,신촌동,280
11410115,Bongwon-dong, 서대문구,봉원동,270
11410116,Changcheon-dong, 서대문구,창천동,281
11410117,Yeonhui-dong, 서대문구,연희동,283
11410118,Hongeun-dong, 서대문구,홍은동,286
11410119,Bukgajwa-dong, 서대문구,북가좌동,287
11410120,Namgajwa-dong, 서대문구,남가좌동,288
11440101,Ahyeon-dong, 마포구,아현동,289
11440102,Gongdeok-dong, 마포구,공덕동,291
11440103,Singongdeok-dong, 마포구,신공덕동,292
11440104,Dohwa-dong, 마포구,도화동,295
11440105,Yonggang-dong, 마포구,용강동,272
11440106,Tojeong-dong, 마포구,토정동,274
11440107,Mapo-dong, 마포구,마포동,277
11440108,Daeheung-dong, 마포구,대흥동,296
11440109,Yeomni-dong, 마포구,염리동,298
11440110,Nogosan-dong, 마포구,노고산동,282
11440111,Sinsu-dong, 마포구,신수동,299
11440112,Hyeonseok-dong, 마포구,현석동,300
11440113,Gusu-dong, 마포구,구수동,293
11440114,Changjeon-dong, 마포구,창전동,301
11440115,Sangsu-dong, 마포구,상수동,302
11440116,Hajung-dong, 마포구,하중동,303
11440117,Sinjeong-dong, 마포구,신정동,297
11440118,Dangin-dong, 마포구,당인동,304
11440120,Seogyo-dong, 마포구,서교동,305
11440121,Donggyo-dong, 마포구,동교동,307
11440122,Hapjeong-dong, 마포구,합정동,309
11440123,Mangwon-dong, 마포구,망원동,310
11440124,Yeonnam-dong, 마포구,연남동,311
11440125,Seongsan-dong, 마포구,성산동,312
11440126,Jung-dong, 마포구,중동,306
11440127,Sangam-dong, 마포구,상암동,313
11470101,Sinjeong-dong, 양천구,신정동,314
11470102,Mok-dong, 양천구,목동,315
11470103,Sinwol-dong, 양천구,신월동,316
11500101,Yeomchang-dong, 강서구,염창동,317
11500102,Deungchon-dong, 강서구,등촌동,318
11500103,Hwagok-dong, 강서구,화곡동,319
11500104,Gayang-dong, 강서구,가양동,320
11500105,Magok-dong, 강서구,마곡동,54
11500106,Naebalsan-dong, 강서구,내발산동,55
11500107,Oebalsan-dong, 강서구,외발산동,56
11500108,Gonghang-dong, 강서구,공항동,57
11500109,Banghwa-dong, 강서구,방화동,58
11500110,Gaehwa-dong, 강서구,개화동,59
11500111,Gwahae-dong, 강서구,과해동,60
11500112,Ogok-dong, 강서구,오곡동,61
11500113,Osoe-dong, 강서구,오쇠동,62
11530101,Sindorim-dong, 구로구,신도림동,63
11530102,Guro-dong, 구로구,구로동,64
11530103,Garibong-dong, 구로구,가리봉동,65
11530106,Gocheok-dong, 구로구,고척동,66
11530107,Gaebong-dong, 구로구,개봉동,67
11530108,Oryu-dong, 구로구,오류동,68
11530109,Gung-dong, 구로구,궁동,69
11530110,Onsu-dong, 구로구,온수동,70
11530111,Cheonwang-dong, 구로구,천왕동,72
11530112,Hang-dong, 구로구,항동,74
11545101,Gasan-dong, 금천구,가산동,75
11545102,Doksan-dong, 금천구,독산동,76
11545103,Siheung-dong, 금천구,시흥동,77
11560101,Yeongdeungpo-dong, 영등포구,영등포동,78
11560102,Yeongdeungpo-dong 1(il)-ga, 영등포구,영등포동1가,308
11560103,Yeongdeungpo-dong 2(i)-ga, 영등포구,영등포동2가,79
11560104,Yeongdeungpo-dong 3(sam)-ga, 영등포구,영등포동3가,80
11560105,Yeongdeungpo-dong 4(sa)-ga, 영등포구,영등포동4가,71
11560106,Yeongdeungpo-dong 5(o)-ga, 영등포구,영등포동5가,73
11560107,Yeongdeungpo-dong 6(yuk)-ga, 영등포구,영등포동6가,81
11560108,Yeongdeungpo-dong 7(chil)-ga, 영등포구,영등포동7가,82
11560109,Yeongdeungpo-dong 8(pal)-ga, 영등포구,영등포동8가,284
11560110,Yeouido-dong, 영등포구,여의도동,83
11560111,Dangsan-dong 1(il)-ga, 영등포구,당산동1가,357
11560112,Dangsan-dong 2(i)-ga, 영등포구,당산동2가,363
11560113,Dangsan-dong 3(sam)-ga, 영등포구,당산동3가,85
11560114,Dangsan-dong 4(sa)-ga, 영등포구,당산동4가,86
11560115,Dangsan-dong 5(o)-ga, 영등포구,당산동5가,94
11560116,Dangsan-dong 6(yuk)-ga, 영등포구,당산동6가,465
11560117,Dangsan-dong, 영등포구,당산동,468
11560118,Dorim-dong, 영등포구,도림동,470
11560119,Mullae-dong 1(il)-ga, 영등포구,문래동1가,88
11560120,Mullae-dong 2(i)-ga, 영등포구,문래동2가,89
11560121,Mullae-dong 3(sam)-ga, 영등포구,문래동3가,90
11560122,Mullae-dong 4(sa)-ga, 영등포구,문래동4가,92
11560123,Mullae-dong 5(o)-ga, 영등포구,문래동5가,12
